,Genre Code,Release Year,Artist Gender,Artist Age,Signal Magnitude,Spectral Centroid,Spectral Flux,MFCC,Tempo,Pitch,Intensity
Charlie Puth_Suffer,13,2016,0,27,0.252791,1922.29519,1.343570028,-1.795191655,172.265625,12.8094,0.197629
Charlie Puth_Then There's You,13,2016,0,27,0.20388,2452.420108,1.333042346,0.165271391,99.38401442,17.4354,0.187183
Charlie Puth_Up All Night,13,2016,0,27,0.299017,2310.209698,1.240203498,-1.192979648,161.4990234,16.9398,0.21537
Charlie Puth_We Don't Talk Anymore (Feat Selena Gomez),13,2016,0,27,0.226939,2052.658853,1.722127461,1.431514007,99.38401442,6.87616,0.234792
CHEEZE (치즈)_좋아해 (Bye),116,2017,1,27,0.252602,2058.24989,1.119230716,-5.582366863,161.4990234,9.63978,0.195736
Chris Brown X Deorro_Five More Hours,52,2015,0,29,0.381361,2853.94737,1.490471307,6.005923991,129.1992188,26.0284,0.32716
Chris Brown X Tyga_Ayo,42,2015,0,29,0.21266,2490.177806,1.731276972,2.016596066,99.38401442,20.5023,0.232772
Chris Brown X Tyga_Remember Me,15,2015,0,29,0.161072,2488.425584,1.506671478,1.215534663,135.9991776,13.0581,0.226444
Chris Brown_Zero,14,2015,0,29,0.342219,2526.97914,1.404561807,5.659404061,123.046875,17.5662,0.301952
Ciara_Dance Like We're Making Love,42,2015,1,33,0.126749,2199.658795,1.548821318,2.716329968,95.703125,5.37562,0.276343
Ciara_I Bet,42,2015,1,33,0.130247,2554.019426,1.557308975,3.135634881,129.1992188,12.272,0.268115
Clean Bandit_Real Love (Feat Jess Glynne),147,2015,2,28,0.383725,2624.056043,1.385914423,0.876372324,123.046875,33.8123,0.231005
Cloves_Don't Forget About Me (From 'Me Before You' Soundtrack),24,2016,1,21,0.185418,1201.259096,0.994273188,-1.216575688,129.1992188,5.80562,0.167775
COIN_Talk Too Much,20,2016,0,25,0.414064,2426.948757,1.304948646,4.036920241,103.359375,25.8968,0.312653
Coldplay_Adventure Of A Lifetime,17,2015,0,39,0.374411,2033.753897,1.426296489,6.999078722,112.3471467,12.0772,0.332476
Coldplay_Everglow,20,2015,0,39,0.221989,1225.154384,1.106214843,5.041047336,143.5546875,5.24804,0.279319
Coldplay_Hymn For The Weekend (Seeb Remix),35,2016,0,39,0.379186,2635.912051,1.244618136,4.505101808,103.359375,21.0887,0.303609
Coldplay_Up&Up (Radio Edit),13,2016,0,39,0.356839,1937.260446,1.233535989,4.704741528,107.6660156,14.2797,0.276804
Conor Maynard_Talking About,13,2015,0,26,0.279864,2862.614793,1.774858824,0.285102922,123.046875,20.3165,0.275263
